id,real_title,real_caption,fake_title,fake_caption,method,label
1069,قطر وإيران تبحثان جهود خفض التصعيد في المنطقة,وزير الخارجية الإيراني عباس عراقجي (يمين)، ورئيس الوزراء وزير الخارجية القطري الشيخ محمد بن عبد الرحمن آل ثاني (الجزيرة - وكالات),قطر وإيران تبحثان جهود خفض التصعيد في المنطقة,وزير الخارجية الإيراني عباس عراقجي (يمين)، ورئيس الوزراء وزير الخارجية القطري الشيخ محمد بن عبد الرحمن آل ثاني (الجزيرة - وكالات),llm_generated,fake
1855,الخبرة أم الشباب؟ خيارات مدرب الجزائر بيتكوفيتش تحت المجهر قبل كأس العالم,مدرب منتخب الجزائر فلاديمير بيتكوفيتش خلال حديثه مع القائد رياض محرز (رويترز),الخبرة أم الشباب؟ خيارات مدرب الجزائر بيتكوفيتش تحت المجهر قبل كأس العالم,مدرب منتخب الجزائر فلاديمير بيتكوفيتش خلال حديثه مع القائد رياض محرز (رويترز),llm_generated,fake
1855,الخبرة أم الشباب؟ خيارات مدرب الجزائر بيتكوفيتش تحت المجهر قبل كأس العالم,المدافع الجزائري أشرف عبادة خلال مشاركته ضد غواتيمالا (غيتي),الخبرة أم الشباب؟ خيارات مدرب الجزائر بيتكوفيتش تحت المجهر قبل كأس العالم,المدافع الجزائري أشرف عبادة خلال مشاركته ضد غواتيمالا (غيتي),llm_generated,fake
1855,الخبرة أم الشباب؟ خيارات مدرب الجزائر بيتكوفيتش تحت المجهر قبل كأس العالم,إبراهيم مازة متوسط ميدان منتخب الجزائر خلال مواجهة غواتيمالا (غيتي),الخبرة أم الشباب؟ خيارات مدرب الجزائر بيتكوفيتش تحت المجهر قبل كأس العالم,إبراهيم مازة متوسط ميدان منتخب الجزائر خلال مواجهة غواتيمالا (غيتي),llm_generated,fake
1855,الخبرة أم الشباب؟ خيارات مدرب الجزائر بيتكوفيتش تحت المجهر قبل كأس العالم,القائد عيسى ماندي خلال توجيهه لرفاقه في المنتخب الجزائري تجنبا للاقتراب من الحكم (أسوشيتد برس),الخبرة أم الشباب؟ خيارات مدرب الجزائر بيتكوفيتش تحت المجهر قبل كأس العالم,القائد عيسى ماندي خلال توجيهه لرفاقه في المنتخب الجزائري تجنبا للاقتراب من الحكم (أسوشيتد برس),llm_generated,fake
797,دول عربية تؤكد توافر السلع وانتظام الإمدادات رغم الحرب على إيران,أحد المتاجر الكبرى في الأردن (رويترز),دول عربية تؤكد توافر السلع وانتظام الإمدادات رغم الحرب على إيران,أحد المتاجر الكبرى في الأردن (رويترز),llm_generated,fake
797,دول عربية تؤكد توافر السلع وانتظام الإمدادات رغم الحرب على إيران,متجر للبقالة فيالبصرةفي العراق (شترستوك),دول عربية تؤكد توافر السلع وانتظام الإمدادات رغم الحرب على إيران,متجر للبقالة فيالبصرةفي العراق (شترستوك),llm_generated,fake
2886,اليوم العالمي للتوعية بمخاطر الألغام.. 20 ألف قنبلة غير منفجرة في غزة,محمد عاطف أبو معلّا (15 عاما) أصيب بجروح بالغة إثر انفجار جسم غير منفجر من مخلفات الاحتلال (الجزيرة),اليوم العالمي للتوعية بمخاطر الألغام.. 20 ألف قنبلة غير منفجرة في غزة,محمد عاطف أبو معلّا (15 عاما) أصيب بجروح بالغة إثر انفجار جسم غير منفجر من مخلفات الاحتلال (الجزيرة),llm_generated,fake
2886,اليوم العالمي للتوعية بمخاطر الألغام.. 20 ألف قنبلة غير منفجرة في غزة,معاناة محمد أبو معلاّ النفسية توازي إصابته الجسدية (الجزيرة),اليوم العالمي للتوعية بمخاطر الألغام.. 20 ألف قنبلة غير منفجرة في غزة,معاناة محمد أبو معلاّ النفسية توازي إصابته الجسدية (الجزيرة),llm_generated,fake
2886,اليوم العالمي للتوعية بمخاطر الألغام.. 20 ألف قنبلة غير منفجرة في غزة,إضافة إلى الآثار الجسدية يعاني الأطفال المصابون بالذخائر المتفجرة من آثار نفسية (الجزيرة),اليوم العالمي للتوعية بمخاطر الألغام.. 20 ألف قنبلة غير منفجرة في غزة,إضافة إلى الآثار الجسدية يعاني الأطفال المصابون بالذخائر المتفجرة من آثار نفسية (الجزيرة),llm_generated,fake
2886,اليوم العالمي للتوعية بمخاطر الألغام.. 20 ألف قنبلة غير منفجرة في غزة,فقد نور الجيار عقلتين من إصبعيه جراء انفجار جسم مشبوه في حادثة أصيب خلالها 4 أطفال آخرين (الجزيرة),اليوم العالمي للتوعية بمخاطر الألغام.. 20 ألف قنبلة غير منفجرة في غزة,فقد نور الجيار عقلتين من إصبعيه جراء انفجار جسم مشبوه في حادثة أصيب خلالها 4 أطفال آخرين (الجزيرة),llm_generated,fake
2886,اليوم العالمي للتوعية بمخاطر الألغام.. 20 ألف قنبلة غير منفجرة في غزة,احتياجات ضحايا الذخائر المتفجرة  تتجاوز إمكانيات الجهات الرسمية في غزة وخاصة العلاج (الجزيرة),اليوم العالمي للتوعية بمخاطر الألغام.. 20 ألف قنبلة غير منفجرة في غزة,احتياجات ضحايا الذخائر المتفجرة  تتجاوز إمكانيات الجهات الرسمية في غزة وخاصة العلاج (الجزيرة),llm_generated,fake
2886,اليوم العالمي للتوعية بمخاطر الألغام.. 20 ألف قنبلة غير منفجرة في غزة,جداريات توعوية تحذر من مخاطر الألغام والذخائر غير المنفجرة ضمن حملة للصليب الأحمر الدولي والهلال الأحمر الفلسطيني (الصليب الأحمر),اليوم العالمي للتوعية بمخاطر الألغام.. 20 ألف قنبلة غير منفجرة في غزة,جداريات توعوية تحذر من مخاطر الألغام والذخائر غير المنفجرة ضمن حملة للصليب الأحمر الدولي والهلال الأحمر الفلسطيني (الصليب الأحمر),llm_generated,fake
2886,اليوم العالمي للتوعية بمخاطر الألغام.. 20 ألف قنبلة غير منفجرة في غزة,بعض المخلفات الحربية تكون مغرية مثل علب مشروبات غازية أو معلبات طعام (الجزيرة),اليوم العالمي للتوعية بمخاطر الألغام.. 20 ألف قنبلة غير منفجرة في غزة,بعض المخلفات الحربية تكون مغرية مثل علب مشروبات غازية أو معلبات طعام (الجزيرة),llm_generated,fake
2886,اليوم العالمي للتوعية بمخاطر الألغام.. 20 ألف قنبلة غير منفجرة في غزة,اللجنة الدولية للصليب الأحمر والهلال الأحمر الفلسطيني يعولان على التوعية لتجنب مخاطر الألغام والذخائر غير المنفجرة (الصليب الأحمر),اليوم العالمي للتوعية بمخاطر الألغام.. 20 ألف قنبلة غير منفجرة في غزة,اللجنة الدولية للصليب الأحمر والهلال الأحمر الفلسطيني يعولان على التوعية لتجنب مخاطر الألغام والذخائر غير المنفجرة (الصليب الأحمر),llm_generated,fake
