fake_title,fake_caption,method,image_path,image_url
إطلاق أول مقاتلة عربية من الجيل الخامس في الإمارات,"نموذج ثلاثي الأبعاد لمقاتلة ""صقر الصحراء"" الجديدة خلال حفل الإطلاق في أبوظبي (وكالة أنباء الإمارات)",dataset_few_shot_generation,/content/drive/MyDrive/MasterThises/generated_images (2)/news_item_13.png,
إطلاق أول قمر صناعي عربي مخصص لمراقبة التغير المناخي,علماء ومهندسون في مركز الفضاء الوطني خلال حفل إطلاق القمر الصناعي الجديد في العاصمة العربية (الفرنسية),dataset_few_shot_generation,/content/drive/MyDrive/MasterThises/generated_images (2)/news_item_11.png,
مصر تطلق مشروعًا طموحًا للطاقة الشمسية لتقليل الاعتماد على الوقود الأحفوري,محطة طاقة شمسية جديدة بمنطقة بنبان في أسوان مزودة بألواح شمسية حديثة (مصر اليوم),dataset_few_shot_generation,/content/drive/MyDrive/MasterThises/generated_images (2)/news_item_0.png,
احتجاجات شعبية في الجزائر تطالب بإصلاحات سياسية واقتصادية عاجلة,متظاهرون يرفعون أعلام الجزائر ويهتفون بشعارات تطالب بتغيير النظام في العاصمة الجزائرية (رويترز),dataset_few_shot_generation,/content/drive/MyDrive/MasterThises/generated_images (2)/news_item_1.png,
الإمارات تعلن إطلاق أول قمر صناعي عربي متخصص في مراقبة المناخ,مهندسون إماراتيون يعملون على تجهيز القمر الصناعي قبل الإطلاق في مركز محمد بن راشد للفضاء بدبي (وكالة الإمارات للفضاء),dataset_few_shot_generation,/content/drive/MyDrive/MasterThises/generated_images (2)/news_item_14.png,
الأردن يطلق حملة وطنية للتوعية بأهمية التلقيح ضد الإنفلونزا الموسمية,وزير الصحة الأردني خلال مؤتمر صحفي لإطلاق الحملة في العاصمة عمّان (رئاسة الوزراء),dataset_few_shot_generation,/content/drive/MyDrive/MasterThises/generated_images (2)/news_item_10.png,
انطلاق مهرجان الربيع الثقافي في بيروت بحضور عشرات الفنانين والمثقفين,جمهور متنوع يستمتع بالعروض الموسيقية والمسرحية في ساحة الشهداء وسط بيروت (وكالة الأنباء اللبنانية),dataset_few_shot_generation,/content/drive/MyDrive/MasterThises/generated_images (2)/news_item_2.png,
إقبال واسع على الأسواق في رام الله قبيل شهر رمضان,مواطنون فلسطينيون يختارون الخضروات والفواكه الطازجة وسط أجواء التسوق الرمضانية (وفا),dataset_few_shot_generation,/content/drive/MyDrive/MasterThises/generated_images (2)/news_item_23.png,
مجلس الأمن يصدر قرارًا تاريخيًا لوقف إطلاق النار في اليمن,أعضاء مجلس الأمن خلال الجلسة الطارئة لمناقشة الأزمة اليمنية في مقر الأمم المتحدة بنيويورك (رويترز),dataset_few_shot_generation,/content/drive/MyDrive/MasterThises/generated_images (2)/news_item_15.png,
أصدرت الأمم المتحدة تقريراً يحذر من تدهور الوضع الإنساني في اليمن مع تزايد النزاعات,فريق من موظفي الإغاثة يوزعون مساعدات غذائية على النازحين في محافظة مأرب (الأمم المتحدة),dataset_few_shot_generation,/content/drive/MyDrive/MasterThises/generated_images (2)/news_item_21.png,
لأول مرة في التاريخ العربي.. إطلاق قمر صناعي عربي يدرس تغير المناخ,مهندسون من جامعة خليجية يشرفون على تحضيرات القمر الصناعي في مركز الإطلاق (وكالة الأنباء العربية),dataset_few_shot_generation,/content/drive/MyDrive/MasterThises/generated_images (2)/news_item_17.png,
مؤتمر دولي في القاهرة لبحث تعزيز التعاون الاقتصادي بين دول الشرق الأوسط,وزراء الاقتصاد من عدة دول يجتمعون في قاعة المؤتمرات الرئيسية بالقاهرة لمناقشة سبل تعزيز التكامل الاقتصادي الإقليمي (رويترز),dataset_few_shot_generation,/content/drive/MyDrive/MasterThises/generated_images (2)/news_item_18.png,
مصر تطلق حملة وطنية لتعزيز الوعي الصحي بمحافظات الصعيد,فريق طبي يقدم استشارات طبية مجانية في قرية بمحافظة أسوان ضمن حملة التوعية الصحية الوطنية (وزارة الصحة المصرية),dataset_few_shot_generation,/content/drive/MyDrive/MasterThises/generated_images (2)/news_item_16.png,
الإمارات تطلق أول قمر صناعي عربي لرصد التغيرات المناخية,القمر الصناعي الإماراتي الجديد يحلق في الفضاء لمراقبة الظواهر الجوية والتغيرات البيئية بدقة عالية (وكالة الأنباء الإماراتية),dataset_few_shot_generation,/content/drive/MyDrive/MasterThises/generated_images (2)/news_item_12.png,
إطلاق قمر صناعي إماراتي جديد لتعزيز الاتصالات في الشرق الأوسط وشمال أفريقيا,مركبة نقل الفضائي تتحرك نحو منصة الإطلاق قبل إطلاق القمر الصناعي الإماراتي الجديد من مركز محمد بن راشد للفضاء (وام),dataset_few_shot_generation,/content/drive/MyDrive/MasterThises/generated_images (2)/news_item_22.png,
