folder,text,images,num_images
aljazeera/1069,,['aljazeera/1069/images/main_image.jpg'],1
aljazeera/1855,,"['aljazeera/1855/images/4.jpg', 'aljazeera/1855/images/main_image.jpg', 'aljazeera/1855/images/2.jpg', 'aljazeera/1855/images/1.jpg']",4
aljazeera/797,,"['aljazeera/797/images/main_image.jpg', 'aljazeera/797/images/1.jpg']",2
aljazeera/2886,,"['aljazeera/2886/images/8.jpg', 'aljazeera/2886/images/4.jpg', 'aljazeera/2886/images/main_image.jpg', 'aljazeera/2886/images/5.jpg', 'aljazeera/2886/images/7.jpg', 'aljazeera/2886/images/6.jpg', 'aljazeera/2886/images/3.jpg', 'aljazeera/2886/images/1.jpg']",8
aljazeera/3168,,['aljazeera/3168/images/main_image.jpg'],1
aljazeera/2288,,['aljazeera/2288/images/main_image.jpg'],1
aljazeera/909,,"['aljazeera/909/images/main_image.jpg', 'aljazeera/909/images/2.jpg']",2
aljazeera/2872,,"['aljazeera/2872/images/main_image.jpg', 'aljazeera/2872/images/1.jpg']",2
aljazeera/135,,['aljazeera/135/images/main_image.jpg'],1
aljazeera/307,,"['aljazeera/307/images/main_image.jpg', 'aljazeera/307/images/2.jpg']",2
aljazeera/2618,,['aljazeera/2618/images/main_image.jpg'],1
aljazeera/763,,"['aljazeera/763/images/main_image.jpg', 'aljazeera/763/images/2.jpg']",2
aljazeera/551,,"['aljazeera/551/images/4.jpg', 'aljazeera/551/images/main_image.jpg', 'aljazeera/551/images/5.jpg', 'aljazeera/551/images/6.jpg', 'aljazeera/551/images/3.jpg', 'aljazeera/551/images/1.jpg']",6
aljazeera/3365,,"['aljazeera/3365/images/8.jpg', 'aljazeera/3365/images/9.jpg', 'aljazeera/3365/images/14.jpg', 'aljazeera/3365/images/12.jpg', 'aljazeera/3365/images/13.jpg', 'aljazeera/3365/images/11.jpg', 'aljazeera/3365/images/10.jpg', 'aljazeera/3365/images/4.jpg', 'aljazeera/3365/images/main_image.jpg', 'aljazeera/3365/images/5.jpg', 'aljazeera/3365/images/7.jpg', 'aljazeera/3365/images/6.jpg', 'aljazeera/3365/images/3.jpg', 'aljazeera/3365/images/1.jpg']",14
aljazeera/1432,,['aljazeera/1432/images/main_image.jpg'],1
