id,title,caption,topic,country,model_source,generated_image_path,quality_tier,eval_image_1,eval_image_2,eval_image_3,eval_title_1,eval_title_2,eval_title_3,user_1,user_2,user_3,eval_count,final_score_image,final_score_title
21.0,البحرين تطلق حملة للتوعية بمرض السكري بمناسبة اليوم العالمي للصحة,مجموعة من المتطوعين في البحرين يرتدون قمصاناً تحمل شعارات عن التوعية بالسكري، خلال توزيع منشورات صحية في أحد الأسواق الشعبية (الفرنسية),صحة,البحرين,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_20.png,standard,,,,,,,,,,0,,
22.0,العراق يطلق برنامجاً وطنياً لدعم المشاريع الصغيرة والمتوسطة في المناطق النائية,مجموعة من رواد الأعمال الشباب في ورشة عمل تتعلق بتطوير مهاراتهم في إدارة المشاريع، تعقد في إحدى القرى العراقية النائية تحت إشراف وزارة التخطيط (الأخبار العراقية).,اقتصاد,العراق,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_21.png,standard,,,,,,,,,,0,,
641.0,البرلمان القمري يناقش مشروع قانون لتوسيع صلاحيات البلديات وسط جدل سياسي,جلسة للبرلمان الوطني في موروني تظهر فيها مقاعد النواب خلال النقاشات (وكالة أنباء جزر القمر),سياسة,جزر القمر,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_640.png,standard,,,,,,,,,,0,,
642.0,طرابلس تطلق أول منصة تعليمية للصم وضعاف السمع بتقنيات الواقع المعزز,تلاميذ يشاهدون شرحاً تفاعلياً بلغة الإشارة عبر أجهزة لوحية في مدرسة ليبية بطرابلس,تقنية,ليبيا,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_641.png,high,,,,,,,,,,0,,
643.0,البحرين تبحث فرص تعزيز الشراكة مع دول المغرب العربي لمواجهة التحديات الإقليمية,وزير الخارجية البحريني خلال لقائه مع نظرائه المغاربيين في المنامة لمناقشة سبل التعاون السياسي والأمني (بنا),سياسة,البحرين,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_642.png,standard,,,,,,,,,,0,,
647.0,زيادة إصابات الملاريا تثير قلق السلطات الصحية في جزر القمر,طاقم طبي محلي يفحص أطفالاً في إحدى القرى النائية بجزيرة أنجوان، في إطار حملة ميدانية للكشف المبكر عن الملاريا (الفرنسية),صحة,جزر القمر,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_646.png,standard,,,,,,,,,,0,,
648.0,حريق ضخم يلتهم سوقاً شعبية في مدينة حلب ويتسبب بخسائر فادحة,عناصر من الدفاع المدني السوري يحاولون إخماد ألسنة النيران وسط متاجر محترقة في سوق باب النيرب بحلب (الفرنسية),حوادث,سوريا,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_647.png,low,,,,,,,,,,0,,
649.0,السودان يطلق أول محطة لتوليد الكهرباء بالطاقة الشمسية في مدينة الأبيض,عمّال سودانيون يثبتون الألواح الشمسية فوق أسطح منشأة كهربائية جديدة في ولاية شمال كردفان (رويترز),طاقة,السودان,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_648.png,standard,,,,,,,,,,0,,
711.0,"مهرجان ""ألوان السعودية"" ينطلق في جدة للاحتفاء بفنون التصوير الفوتوغرافي",زوار يتأملون لوحات فوتوغرافية ضخمة توثق ملامح الحياة والتراث في معرض مهرجان ألوان السعودية بجدة,ثقافة,السعودية,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_710.png,standard,,,,,,,,,,0,,
712.0,البرلمان البحريني يناقش اقتراحاً لتشديد الرقابة على تمويل الجمعيات السياسية,مقر مجلس النواب البحريني خلال إحدى الجلسات التشريعية بحضور النواب وعدد من الوزراء (الصحافة البحرينية),سياسة,البحرين,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_711.png,standard,,,,,,,,,,0,,
713.0,المعارضة في جيبوتي تطالب بإصلاحات انتخابية شاملة قبل الاستحقاقات البرلمانية المقبلة,متظاهرون يحملون لافتات خلال مسيرة سلمية في شوارع جيبوتي العاصمة للمطالبة بتعديلات على قانون الانتخابات (رويترز),سياسة,جيبوتي,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_712.png,standard,,,,,,,,,,0,,
717.0,أمطار غزيرة تتسبب بانهيار منازل طينية شرق موريتانيا وإجلاء عشرات الأسر,فرق الإنقاذ توزع البطاطين والمستلزمات الأساسية على سكان قرية متأثرة بعد فيضان مفاجئ في ولاية الحوض الشرقي (وكالة الأنباء الموريتانية),حوادث,موريتانيا,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_716.png,standard,,,,,,,,,,0,,
718.0,سيول مفاجئة تجتاح أحياء سكنية في مراكش وتخلف خسائر مادية كبيرة,عناصر من الوقاية المدنية المغربية وهم ينقلون سكاناً حاصرتهم المياه إلى مناطق أكثر أماناً وسط منازل غمرتها السيول (الصحافة المغربية),حوادث,المغرب,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_717.png,standard,,,,,,,,,,0,,
719.0,ارتفاع معدلات زواج القاصرات يثير قلق الأسر في شمال كردفان,طفلتان ترتديان الثياب التقليدية وتجلسان أمام منزل ريفي في إحدى قرى ولاية شمال كردفان بالسودان (الجزيرة),قضايا اجتماعية,السودان,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_718.png,standard,,,,,,,,,,0,,
723.0,احتجاجات طلابية في قسنطينة تطالب بتحسين جودة الإقامة الجامعية,طلبة يحتشدون أمام مدخل الإقامة الجامعية بوسط قسنطينة، يحملون لافتات ويهتفون بشعارات مطلبية (حساب ناشط طلابي عبر فيسبوك),تعليم,الجزائر,gpt-4.1,/content/DataToEval/GeneratedImagesToEvaluate/fake_news_722.png,standard,,,,,,,,,,0,,
