title,caption,topic,country
شاحنة تدهس ثلاثة عمال في أبوظبي وتسبب بإصابات خطيرة,موقع الحادث في أبوظبي حيث تواجدت سيارات الإسعاف والشرطة، في حين كان العمال المصابون يتلقون العناية الطبية من المسعفين (الإمارات اليوم),حوادث,الإمارات
منتخب المغرب يستعد لمواجهة قوية في تصفيات كأس العالم 2026,تجمع اللاعبين المغاربة في معسكرهم التدريبي بمدينة الرباط استعدادًا للمباراة الحاسمة أمام منتخب غانا، حيث يظهر المدرب وليد الركراكي وهو يعقد جلسة توجيه مع اللاعبين (الصحافة المغربية),رياضة,المغرب
تونس تطلق مشروعًا لتحسين جودة المياه في مناطق الريف لمواجهة التغير المناخي,خبراء بيئيون يقومون بفحص عينات المياه في إحدى القرى التونسية، وسط جهود الحكومة لتحسين مستوى الخدمات المائية (موقع وزارة البيئة التونسية),بيئة,تونس
تزايد حالات التشرد في الجزائر العاصمة.. من يدافع عن حقوق الأطفال الضائعين؟,أطفال مشردون يجلسون في شوارع الجزائر العاصمة، يتامى من الظروف القاسية، في انتظار مساعدات المجتمع والسلطات المحلية (الجزائر الآن).,قضايا اجتماعية,الجزائر
انفجار خط أنابيب يوقف حركة القطارات في الإسكندرية ويثير قلق المواطنين,رجال الإطفاء يعملون على السيطرة على النيران الناتجة عن انفجار خط الأنابيب، بينما يتجمع المواطنون في حالة من الذهول والقلق في الخلفية (الشرق الأوسط),حوادث,مصر
مهرجان الفنون الأردني يحتفي بالتنوع الثقافي ويشجع على الحوار بين الأجيال,فعاليات المهرجان شهدت عروضاً موسيقية ورقصات شعبية من مختلف مناطق الأردن، حيث اجتمع الفنانون المحليون والدوليون في أجواء من التفاعل والتبادل الثقافي (مصور محلي).,ثقافة,الأردن
تدشين أول مدرسة تفاعلية في سلطنة عُمان لتعزيز أساليب التعليم الحديثة,المعلمون والطلاب يتفاعلون مع التكنولوجيا الحديثة داخل الفصل الدراسي في المدرسة التفاعلية الجديدة، التي تركز على التعلم النشط والابتكار (المديرية العامة للتربية والتعليم بعمان).,تعليم,عُمان
تحذيرات من تزايد حالات الإصابة بالأمراض التنفسية في العراق مع دخول فصل الشتاء,أطباء في أحد المستشفيات العراقية يقدمون الرعاية الطبية للمرضى الذين يعانون من أمراض تنفسية خلال الأيام الباردة (Getty Images),صحة,العراق
"إطلاق برنامج ""التعليم الإلكتروني"" في الأردن لتعزيز المهارات الرقمية لدى الطلاب",طلاب يستخدمون أجهزة الكمبيوتر في فصل دراسي حديث ضمن مشروع التعليم الإلكتروني الجديد، مع معلم يوجههم خلال الدروس التفاعلية (الدستور),تعليم,الأردن
حادث مروري مأساوي على طريق الجهراء يسفر عن وفاة شخصين وإصابة آخرين,فرق الطوارئ تتواجد في موقع الحادث، حيث تظهر المركبات المتضررة والأضواء الزرقاء لمركبات الإسعاف وسط حطام الحادث (القبس),حوادث,الكويت
قطر تطلق برنامجاً وطنياً لتعزيز مهارات الطلاب في مجال البرمجة,وزير التعليم يتحدث أمام حشد من الطلاب في مركز التعليم والتدريب، حيث تم الإعلان عن البرنامج الجديد الذي يستهدف تطوير مهارات القرن الواحد والعشرين (الصحافة القطرية),تعليم,قطر
تطورات إيجابية في رياضة الكارتينغ بالمغرب.. تنظيم بطولة وطنية جديدة لجذب الشباب,صورة تجمع المتسابقين المشاركين في بطولة الكارتينغ الوطنية، حيث تظهر الحماس والإثارة في أوجههم قبل بدء المنافسات (المغرب اليوم),رياضة,المغرب
"""منجزات شبابية في عُمان: مهرجان الابتكار يعزز روح الإبداع بين الطلاب""",مجموعة من الطلاب العمانيين تعرض مشاريعهم الابتكارية في مهرجان الابتكار، حيث يتفاعلون مع الزوار ويشرحون أفكارهم بأفكار جديدة ومبتكرة (الخليج العربي),مجتمع,عُمان
تونس تطلق منصة وطنية لتعزيز الابتكار في مجال الطاقة المتجددة,وزير الطاقة التونسي يعلن عن إطلاق المنصة الجديدة في مؤتمر صحفي، متحدثًا عن أهمية الابتكار في تحقيق الاستدامة البيئية (الوكالة التونسية للأنباء),تقنية,تونس
البحرين تعلن عن مبادرة جديدة لدعم المشاريع الصغيرة والمتوسطة في ظل التحديات الاقتصادية,وزير التجارة والسياحة البحريني خلال المؤتمر الصحفي الذي أعلن فيه عن تفاصيل المبادرة الجديدة، بحضور مجموعة من رواد الأعمال والمستثمرين (الأيام),اقتصاد,البحرين
قطر تتصدر قائمة دول الشرق الأوسط في استثمارات الطاقة المتجددة لعام 2023,مشهد من مشروع الطاقة الشمسية الجديد في قطر، حيث تتمركز الألواح الشمسية تحت أشعة الشمس الساطعة، مما يعكس التزام الدولة بالتحول نحو مصادر الطاقة المستدامة (الوكالة القطرية).,طاقة,قطر
منتخب الأردن يتأهل إلى نصف نهائي بطولة غرب آسيا بعد انتصاره على العراق,لاعبو المنتخب الأردني يحتفلون بتسجيل الهدف الثاني خلال المباراة المثيرة ضد العراق، والتي انتهت بفوزهم 2-1 وتأهلهم للدور نصف النهائي (رويترز),رياضة,الأردن
حادث مروع في العاصمة القطرية.. انقلاب شاحنة يسبب فوضى مرورية,لحظة وصول فرق الطوارئ إلى موقع الحادث، حيث تُظهر الصورة الشاحنة المنقلبة وسط الطريق ووجود عدد من المركبات المتضررة حولها (الشرق),حوادث,قطر
قطر تطلق مشروعاً جديداً لتطوير الطاقة المتجددة وتعزيز الاستدامة الاقتصادية,مشهد لخبراء ومهندسين في مجال الطاقة المتجددة أثناء توقيع اتفاقية المشروع الجديد في الدوحة، مع خلفية تضم توربينات الرياح وألواح الطاقة الشمسية (القطرية).,اقتصاد,قطر
كرة القدم النسائية العراقية تحقق إنجازاً تاريخياً بالتأهل لنهائيات كأس آسيا,لاعبات المنتخب العراقي يحتفلن بالتأهل بعد الفوز في مباراة حاسمة على منتخب الأردن، معبرين عن فرحتهم أمام جماهيرهم في ملعب الشعب ببغداد (الوكالة الوطنية العراقية للأنباء).,رياضة,العراق
الجزائر تطلق مبادرة جديدة لتعزيز الابتكار في القطاع الزراعي,مجموعة من المزارعين في الجزائر يتبادلون الأفكار حول التقنيات الحديثة في الزراعة خلال ورشة عمل خاصة بالابتكار الزراعي (الجزائر اليوم),اقتصاد,الجزائر
وزارة الاقتصاد اللبنانية تتبنى خطة جديدة لتعزيز الاستثمار المحلي وتخفيف الأعباء عن الشركات,اجتماع لوزير الاقتصاد اللبناني مع مجموعة من رجال الأعمال والمستثمرين لعرض الخطة الجديدة في مقر الوزارة وسط بيروت (الوكالة الوطنية للإعلام),اقتصاد,لبنان
"انطلاق مشروع ""مدرستي"" لتحسين بيئة التعليم في الكويت","طالبات في إحدى المدارس الكويتية يتفاعلن مع المعلمين ضمن الأنشطة التفاعلية التي ينظمها مشروع ""مدرستي""، الهادف إلى تعزيز التعليم الذاتي وتوفير بيئة تعليمية محفزة (كويت نيوز).",تعليم,الكويت
انطلاق حملة وطنية للتوعية بسرطان الثدي في الأردن بمشاركة فنانين وإعلاميين,مجموعة من الفنانين والإعلاميين الأردنيين يرفعون لافتات تحمل رسائل توعوية حول أهمية الكشف المبكر عن سرطان الثدي خلال حدث انطلاق الحملة في عمان (الأناضول),صحة,الأردن
انطلاق حملة توعية صحية لمكافحة السمنة في الكويت,مجموعة من المتطوعين يوزعون منشورات توعوية حول التغذية السليمة وأهمية ممارسة الرياضة في أحد المنتزهات العامة بالعاصمة الكويت (الكويت اليوم),مجتمع,الكويت
وزارة الصحة الأردنية تطلق حملة للتوعية بأهمية الكشف المبكر عن سرطان الثدي,مشهد من فعالية إطلاق الحملة التي تجمع بين الأطباء والمتطوعين لتوزيع منشورات توعوية على السيدات في مركز صحي بالعاصمة عمان (السبيل),صحة,الأردن
الإمارات تطلق حملة توعوية للكشف المبكر عن سرطان الثدي,مشاركة نساء إماراتيات في فعالية توعوية عن سرطان الثدي، حيث يتلقين معلومات طبية وفحوصات مجانية بمناسبة شهر التوعية بالسرطان (الإمارات اليوم),صحة,الإمارات
طلاب لبنانيون يبتكرون مشروعًا لتسهيل الوصول إلى التعليم عن بُعد في المناطق النائية,مجموعة من الطلاب في مختبر مدرسي، يعملون على تطوير تطبيق يتيح للطلاب في القرى البعيدة الاستفادة من الدروس الافتراضية (الجزيرة),تعليم,لبنان
ابتكار تقنية جديدة لفحص مرض السكري في الإمارات بتكلفة منخفضة,الباحثون في مركز الابتكار الطبي بالإمارات يتفاعلون مع الأجهزة الجديدة المصممة لتحسين طرق الكشف المبكر عن مرض السكري (رويترز),صحة,الإمارات
