title,caption,topic,country
العراق يُطلق حزمة تحفيزية لدعم المشاريع الصغيرة والمتوسطة بقيمة تتجاوز تريليون دينار,أصحاب مشاريع صغيرة في سوق بغداد التجاري يستعرضون منتجاتهم في انتظار الاستفادة من القروض الحكومية الجديدة (رويترز),اقتصاد,العراق
"ظاهرة ""بيوت الطلاب"" تُعيد تشكيل خريطة السكن الجامعي في المدن المغربية الكبرى",طلاب يتشاركون سكناً في شقة بمدينة فاس بعد عجزهم عن الحصول على مقاعد في الأحياء الجامعية الحكومية (الجزيرة),مجتمع,المغرب
سوريا تُعيد تشغيل محطة كهرومائية على نهر الفرات بعد سنوات من التوقف القسري,منظر جوي لسد الفرات في منطقة الطبقة يكشف عودة الحياة إلى منشآته بعد إعادة تأهيل وحداته التوربينية المتضررة (رويترز),طاقة,سوريا
موجة هجرة تُفرغ أحياء بغداد القديمة من سكانها.. والسلطات تبحث عن حلول,منازل مهجورة في حي الكرخ العريق ببغداد تعكس حجم النزوح الداخلي الذي تشهده العاصمة العراقية (الجزيرة),مجتمع,العراق
المغرب يتأهل إلى نهائي كأس أمم أفريقيا للشباب بعد فوز مثير على غينيا,لاعبو المنتخب المغربي تحت 20 عاماً يحتفلون بالتأهل إلى النهائي عقب مباراة غينيا في ملعب أوليمبيك في أبيدجان (رويترز),رياضة,المغرب
جيبوتي تُدشّن أول محطة لتحويل النفايات إلى طاقة كهربائية بشراكة خليجية,منظر عام لموقع المحطة الجديدة في ضواحي العاصمة جيبوتي، حيث تجري أعمال التشغيل التجريبي الأولى وسط حضور مسؤولين من وزارة الطاقة (وكالة الأنباء الجيبوتية),طاقة,جيبوتي
الكويت تُطلق حملة وطنية لتطهير سواحل الخليج من النفايات البلاستيكية قبيل موسم الصيد,متطوعون كويتيون يجمعون النفايات المتراكمة على شاطئ الخليج العربي في إطار الحملة الوطنية للحفاظ على البيئة البحرية (رويترز),بيئة,الكويت
موريتانيا تُطلق برنامجاً وطنياً لتطوير صناعة الصيد الحرفي وتصدير منتجاته إلى الأسواق الأوروبية,صيادون موريتانيون يفرغون شباكهم في ميناء نواذيبو، أكبر موانئ الصيد في غرب أفريقيا (الجزيرة),اقتصاد,موريتانيا
جيبوتي تُطلق مهرجانها الأول للشعر الشفهي بمشاركة شعراء من القرن الأفريقي وجنوب الجزيرة العربية,شاعر جيبوتي يُلقي قصيدة تراثية بالزي التقليدي أمام جمهور غفير في ساحة المهرجان بالعاصمة (وكالة الأنباء الجيبوتية),ثقافة,جيبوتي
مجلس الشورى السعودي يناقش مشروع قانون جديد لتنظيم العمل السياسي في المحافظات الحدودية,مبنى مجلس الشورى في الرياض خلال إحدى جلساته التشريعية المغلقة (رويترز),سياسة,السعودية
