title,caption,topic,country
الصومال تطلق حملة وطنية للتحصين ضد الأمراض المعدية,فريق من الأطباء والممرضين يقومون بتطعيم الأطفال في إحدى العيادات المحلية في مقديشو، حيث تسعى الحملة إلى تعزيز الصحة العامة والوقاية من الأمراض الشائعة في البلاد. @من صفحة وزارة الصحة الصومالية.,صحة,الصومال
الإمارات تطلق مبادرة جديدة للحفاظ على السلاحف المهددة بالانقراض,فريق من الخبراء البيئيين يعملون على إعداد مواقع تعشيش جديدة للسلاحف على سواحل أبوظبي (الصورة من وزارة التغير المناخي والبيئة في الإمارات).,بيئة,الإمارات
مهرجان قرطاج الدولي يفتح أبوابه لمشاهير الفن العربي بمشاركة واسعة هذا الصيف,الفنانة التونسية هالة صدقي تتألق على خشبة المسرح في افتتاح مهرجان قرطاج الدولي، حيث تشهد الفعالية حضوراً جماهيرياً لافتاً ونجوم من مختلف الدول العربية (الأنباء التونسية).,ثقافة,تونس
الجزائر تطلق حملة توعية للحد من السمنة بين الأطفال والمراهقين,أطفال في مدرسة ابتدائية الجزائرية يشاركون في نشاط رياضي ضمن الحملة التوعوية (التلفزيون الجزائري),صحة,الجزائر
المغرب يحقق قفزة في صادرات الفواكه والخضروات إلى السوق الأوروبي,شاحنات محملة بالفواكه والخضروات الطازجة في ميناء طنجة، حيث يشهد تصدير المنتجات المغربية ارتفاعاً ملحوظاً خلال موسم 2023 (مكتب الإحصاء المغربي),اقتصاد,المغرب
اليمن يستعد لتدشين مشروع الطاقة الشمسية الأكبر في الشرق الأوسط,خبراء ومهندسون يتفقدون الموقع الذي سيحتضن المشروع الطموح في محافظة مأرب، والذي يهدف لتوليد الطاقة النظيفة وتوفير الكهرباء للمدن اليمنية (أ ف ب),طاقة,اليمن
البحرين تطلق مبادرة لتعزيز الوعي البيئي بين الشباب,مجموعة من الشبان البحرينيين يشاركون في ورشة عمل حول الاستدامة البيئية وتدوير النفايات (الجزيرة),مجتمع,البحرين
الأردن يبدأ تنفيذ مشروع لتجديد الغابات المتدهورة في البلقاء,مشهد لفرقة من المتطوعين يزرعون الأشجار في منطقة البلقاء، في إطار جهود الحكومة الأردنية لإعادة تأهيل الغابات المتدهورة (موقع وزارة البيئة الأردنية),بيئة,الأردن
سلطنة عُمان تطلق مبادرة للحفاظ على التنوع البيولوجي في جبل شمس,فريق من الباحثين العمانيين يقومون بجمع عينات من النباتات النادرة في جبل شمس، الذي يعد من أعلى القمم في سلطنة عُمان، وذلك ضمن حملة توعوية للحفاظ على البيئة والتنوع البيولوجي (البيان),بيئة,عُمان
البحرين تستضيف مؤتمرًا إقليميًا حول الأمن السيبراني في الشرق الأوسط,مجموعة من الخبراء والمديرين التنفيذيين في مجال التكنولوجيا يتبادلون الآراء خلال جلسة نقاش في المؤتمر الذي عُقد في المنامة (الصحافة البحرينية),سياسة,البحرين
منتخب الأردن لكرة القدم يحقق فوزًا مثيرًا على نظيره العراقي في تصفيات كأس العالم,فرحة عارمة بين اللاعبين الأردنيين بعد تسجيل الهدف الحاسم في المباراة التي أقيمت على استاد عمان الدولي (الأناضول),رياضة,الأردن
إطلاق حملة توعية لمكافحة التنمر في المدارس الأردنية,طلاب في مدرسة بالعاصمة عمان يشاركون في ورشة عمل حول كيفية التعامل مع ظاهرة التنمر وأثرها على المجتمع، تحت إشراف معلمين ومتخصصين نفسيين (العربية),قضايا اجتماعية,الأردن
احتجاجات في السودان للمطالبة بتحسين أوضاع التعليم والصحة,مجموعة من الطلاب والشباب السودانيين يحملون لافتات خلال احتجاجاتهم في العاصمة الخرطوم، يعبرون عن مطالبهم بإعادة النظر في السياسات التعليمية والصحية (وكالة السودان للأنباء).,قضايا اجتماعية,السودان
عمان تطلق مبادرة جديدة لتعزيز التحول الرقمي في التعليم العام,الطالبة فاطمة تتابع دروسها عبر منصة تعليمية إلكترونية جديدة، مع التركيز على دمج التكنولوجيا في الفصول الدراسية لتعزيز التعلم الذاتي وتوسيع آفاق الطلاب (الجزيرة).,تقنية,عُمان
"إخماد حريق هائل في غابة ""الزاوية"" بالجزائر يهدد الحياة البرية",رجال الإطفاء يعملون على إخماد النيران المشتعلة في الغابة، بينما تتصاعد سحب الدخان الكثيف في السماء (الأخبار الجزائرية),حوادث,الجزائر
"""ليبيا تطلق أول منصة إلكترونية لتسويق المنتجات الزراعية المحلية""",مزارعون ليبيون يعرضون منتجاتهم في سوق محلي، مع واجهة المنصة الإلكترونية الجديدة في الخلفية (تصوير خاص).,تقنية,ليبيا
الكويت تستثمر 200 مليون دولار في طاقة الرياح لتعزيز استدامتها البيئية,نموذج لمحطة طاقة رياح في الكويت، يظهر فيها التوربينات الضخمة تتمايل برفق في الهواء (وكالة الأنباء الكويتية),طاقة,الكويت
زيادة الاستثمارات الأجنبية في القطاع السياحي السعودي بنسبة 40% خلال العام الجاري,مشهد لزوار يكتشفون أحد المعالم السياحية الحديثة في السعودية، مع وجود لافتات توضح الجذب السياحي الجديد (الشركة السعودية للسياحة).,اقتصاد,السعودية
البحرين تطلق حملة لزراعة الأشجار لحماية البيئة وتعزيز التنوع البيولوجي,متطوعون من مختلف الأعمار يزرعون شتلات الأشجار في منطقة ساحلية بالبحرين، حيث تسهم الحملة في مكافحة التصحر وتحسين جودة الهواء (الأناضول),بيئة,البحرين
تعزيز التعليم الفني في جزر القمر: إطلاق مشروع جديد لتحسين المهارات المهنية,صورة لطلاب يتلقون تدريبات عملية في ورشة عمل حديثة ضمن مشروع التعليم الفني في جزر القمر (المصدر: وزارة التعليم),تعليم,جزر القمر
المغرب يتجاوز عتبة الـ 10% من الاعتماد على الطاقة المتجددة في عام 2023,حقل من الألواح الشمسية يمتد على الأرض في الصحراء المغربية، حيث تُظهر أنظمة الطاقة المتجددة التزام البلاد نحو التحول البيئي (رويترز),اقتصاد,المغرب
جمعية في الأردن تطلق حملة لتوزيع الوجبات الغذائية على الأسر المحتاجة خلال فصل الشتاء,متطوعون في الجمعية يقومون بتحضير وتوزيع الوجبات الساخنة في أحد الأحياء الشعبية في عمان (الصحافة الأردنية),قضايا اجتماعية,الأردن
مصر تطلق مشروعًا طموحًا لتحول الطاقة المتجددة وتعزيز الاستدامة البيئية,لقطات تظهر مجموعة من المهندسين المصريين أثناء تنفيذ مشروع للطاقة الشمسية في صحراء شرق العوينات، حيث تم تركيب الألواح الشمسية على مساحة واسعة من الأرض لتوليد الطاقة النظيفة (الصحافة المصرية).,طاقة,مصر
تحسن نسبي في سوق العمل المصري خلال الربع الثالث من 2023,الشباب المصريون يتوجهون إلى مراكز التوظيف في القاهرة بحثاً عن فرص عمل جديدة، وسط جهود الحكومة لدعم سوق العمل المحلي. (الجزيرة),اقتصاد,مصر
وفاة خمسة أشخاص في حادث سير مروع على طريق البليدة - الجزائر,رجال الإنقاذ يحاولون إخراج الضحايا من السيارة المتضررة التي انقلبت في موقع الحادث على طريق البليدة، حيث تجمهر الأهالي لمتابعة عمليات الإنقاذ (الجزيرة),حوادث,الجزائر
البحرين تستضيف بطولة كأس الخليج العربي للسباحة بمشاركة 8 دول,السباحون يتأهبون على حافة المسبح في تجمع حاشد بأحد المرافق الرياضية في البحرين وسط أجواء تنافسية مثيرة (الجزيرة).,رياضة,البحرين
وفاة شخصين وإصابة آخرين في حادث سير مروع بسلطنة عمان,موقع الحادث الذي وقع على الطريق السريع بين مسقط وصحار، حيث تجمع رجال المرور والإسعاف حول المركبات المتضررة (وكالة الأنباء العمانية).,حوادث,عُمان
الجزائر تطلق منصة جديدة لمراقبة جودة الهواء في المدن الكبرى,فرق فنية في الجزائر العاصمة تقوم بإعداد أجهزة قياس جودة الهواء في أحد الأحياء المكتظة بالسكان، بينما يظهر في الخلفية برج التليفزيون الشهير (وزارة البيئة الجزائرية),تقنية,الجزائر
"""مهرجان تبادل الكتب في القاهرة يهدف لتعزيز ثقافة القراءة بين الشباب""",مجموعة من الشباب يتبادلون الكتب في ساحة مهرجان القراءة بالقاهرة، حيث يجتمعون لمناقشة الأدب وتعزيز الوعي الثقافي (الجزيرة).,قضايا اجتماعية,مصر
تحدِّيات سياسية جديدة تواجه الحكومة التونسية بعد استقالة وزيرين بارزين,تجمع شعبي في ساحة الحكومة يعكس حالة من الترقب والقلق بين المواطنين بعد الإعلان عن الاستقالات المفاجئة (رويترز),سياسة,تونس
