title,caption,topic,country
جزر القمر: حادث غرق قارب صيد يودي بحياة خمسة صيادين قبالة أنجوان,سفينة دورية تابعة لخفر السواحل في جزر القمر تبحر خلال عمليات البحث عن المفقودين قبالة السواحل (رويترز),حوادث,جزر القمر
موريتانيا تطلق برنامجاً وطنياً لتمكين الشباب من المهارات الحرفية لمواجهة تحديات سوق العمل,مجموعة من الشابات الموريتانيات يتدربن على حرفة النسيج التقليدي ضمن مبادرة تنموية في ورشة بضواحي نواكشوط (الوكالة الموريتانية للأنباء),قضايا اجتماعية,موريتانيا
فاجعة الزرقاء الصناعية.. انفجار ضخم يهز مصنع كيماويات ويخلف عشرات الضحايا,تصاعد كثيف لأعمدة الدخان الأسود وألسنة اللهب من بقايا مصنع كيماويات مدمر في مدينة الزرقاء الأردنية، بينما تتجمع فرق الدفاع المدني وسيارات الإسعاف في محيط الموقع المتضرر.,حوادث,الأردن
"جيبوتي تستثمر في ""شريانها الرقمي"": مشروع جديد للألياف البصرية يربط العاصمة بالمناطق الريفية والحدودية",مهندسون جيبوتيون يشرفون على مد كابلات الألياف البصرية في منطقة صحراوية نائية بجيبوتي، ضمن المشروع الجديد لتوسيع التغطية الوطنية (رويترز).,تقنية,جيبوتي
زحف الرمال والعواصف الترابية يهدد سبل العيش ويدفع بتهجير جديد في الصومال,مزارع صومالي يتفحص حقلًا زراعيًا غطته طبقة سميكة من الرمال المتراكمة بفعل العواصف الترابية، في إحدى القرى المتضررة بمنطقة جلجدود وسط الصومال.,بيئة,الصومال
وفاة شخص وفقدان 3 آخرين إثر انجراف مركبتهم في وادي القرم بعُمان,فرق الإنقاذ تبحث عن مفقودين في وادي القرم بعد انجراف مركبة بفعل السيول الجارفة (شرطة عُمان السلطانية),حوادث,عُمان
الأردن يطلق استراتيجية وطنية لتعزيز مرونة شبكته الكهربائية في ظل تزايد الاعتماد على المتجددة,موظف فني يراقب لوحة تحكم في محطة فرعية ضمن الشبكة الكهربائية الأردنية (الأناضول),طاقة,الأردن
الصويرة تتأهب لاحتضان بطولة عالمية لركوب الأمواج: دفعة قوية للسياحة والرياضة المحلية,مشهد لراكب أمواج محترف يتحدى الأمواج العاتية قبالة أسوار مدينة الصويرة التاريخية، مع اقتراب موعد البطولة العالمية.,رياضة,المغرب
الصومال يطلق خطة خمسية طموحة لتعزيز التعليم المهني وتأهيل الشباب لسوق العمل,شباب صوماليون يتدربون على مهارات كهربائية وميكانيكية في أحد مراكز التعليم المهني بمدينة هرجيسا شمال الصومال (الجزيرة).,تعليم,الصومال
الشتاء القارس يهدد العام الدراسي في ريف اليمن: فصول خاوية ونقص حاد بالمواد الأساسية,تلاميذ في إحدى المدارس الريفية بمحافظة إب اليمنية يحاولون الدراسة داخل فصل دراسي قارس البرودة، بينما تغيب أعداد كبيرة من زملائهم بسبب صعوبة الظروف المعيشية ونقص التدفئة (رويترز).,تعليم,اليمن
خبراء بيئة يحذرون: تونس تواجه تسارعًا في تآكل سواحلها وتهديدًا لمواردها الاقتصادية,مياه البحر تلتهم أجزاء من طريق ساحلي متضرر في منطقة قمرت شمال العاصمة التونسية، في مشهد يعكس التهديد المتنامي لتآكل السواحل التونسية. (تونس برس),بيئة,تونس
توتر في أروقة مجلس الأمة الكويتي قبيل جلسة حاسمة للتصويت على حزمة إصلاحات مالية,نواب مجلس الأمة الكويتي يتابعون النقاشات خلال جلسة سابقة مخصصة لمناقشة التعديلات المقترحة على قانون الميزانية العامة (الجزيرة).,سياسة,الكويت
الإمارات تعلن عن خطة استراتيجية لتعزيز أمن بنيتها التحتية الرقمية الحيوية,شاشات مراقبة متطورة في مركز عمليات أمن سيبراني بأبوظبي (رويترز),تقنية,الإمارات
صحة أطفال فلسطين في خطر: ارتفاع مقلق لمعدلات السكري بين اليافعين,ممرضة فلسطينية تجري فحص سكر الدم لطفل في عيادة صحية بالضفة الغربية، في ظل تصاعد المخاوف من ارتفاع معدلات المرض (وكالة الأناضول).,صحة,فلسطين
الصومال: نساء يُعدن للحرف اليدوية مجدها.. نسج السلال التقليدية شريان حياة للقرى,نسوة صوماليات يعملن باهتمام على نسج السلال الملونة والمتينة في ورشة جماعية بإحدى القرى، تجسيداً لمبادرة مجتمعية تهدف لتمكينهن اقتصادياً (وكالة الأنباء الصومالية),مجتمع,الصومال
الإمارات تطلق برنامجا وطنيا لتتبع وحماية السلاحف الخضراء المهددة في الخليج العربي,فريق من خبراء الحياة البحرية يجهزون سلحفاة خضراء لتركيب جهاز تتبع بالأقمار الصناعية قبالة سواحل أبوظبي ضمن مشروع الحفاظ على الأنواع المهددة. (وام),بيئة,الإمارات
اليمن: مبادرة محلية لتوسيع نطاق الإنترنت عبر تقنيات الموجات الدقيقة في المناطق الجبلية,فريق تقني يمني يقوم بتركيب جهاز إرسال واستقبال لاسلكي بالموجات الدقيقة على قمة جبل في محافظة إب، لربط مجتمعات ريفية بالشبكة العنكبوتية (وكالة سبأ),تقنية,اليمن
"ليبيا تطلق مشروع ""بوابتي الرقمية"" لتوحيد الخدمات الحكومية وتحسين الوصول","موظف ليبي يشرح آليات عمل المنصة الإلكترونية الجديدة للمواطنين خلال حفل إطلاق مشروع ""بوابتي الرقمية"" في طرابلس.",تقنية,ليبيا
